"","album_name","ep","album_release"
"1","Taylor Swift",FALSE,2006-10-24
"2","The Taylor Swift Holiday Collection",TRUE,2007-10-14
"3","Beautiful Eyes",TRUE,2008-07-15
"4","Fearless",FALSE,2008-11-11
"5","Speak Now",FALSE,2010-10-25
"6","Red",FALSE,2012-10-22
"7","1989",FALSE,2014-10-27
"8","reputation",FALSE,2017-11-10
"9","Lover",FALSE,2019-08-23
"10","folklore",FALSE,2020-07-24
"11","evermore",FALSE,2020-12-11
"12","Fearless (Taylor's Version)",FALSE,2021-04-09
"13","Red (Taylor's Version)",FALSE,2021-11-12
